location
ADELAIDE ST E&PARLIAMENT ST
ALBION RD&KIPLING AVE
ALBION RD&SILVERSTONE DR
AVENUE RD&LAWRENCE AVE W
BATHURST ST&DAVENPORT RD
BATHURST ST&LAWRENCE AVE W
BATHURST ST&SHEPPARD AVE W
BAYVIEW AVE  CUMMER AVE
BAYVIEW AVE&TRUMAN RD
BIRCHMOUNT RD&HUNTINGWOOD DR
BIRCHMOUNT RD&MCNICOLL AVE
BLOOR ST W&ISLINGTON AVE
BLOOR ST W&KEELE ST
BLOOR ST W&OSSINGTON AVE
BLOOR ST W&THE EAST MALL
BLOOR ST W&THE WEST MALL
BURNHAMTHORPE RD&THE EAST MALL
COLLEGE ST&BATHURST ST
DANFORTH AVE&BIRCHMOUNT RD
DANFORTH AVE&GREENWOOD AVE
DANFORTH RD&BIRCHMOUNT RD
DANFORTH RD&BRIMLEY RD
DIXON RD&CARLINGVIEW DR
DIXON RD&ISLINGTON AVE
DIXON RD&KIPLING AVE
DIXON RD&MARTIN GROVE RD
DON MILLS RD&VAN HORNE AVE
DUFFERIN ST&BRIDGELAND AVE
DUFFERIN ST&DUPONT ST
DUFFERIN ST&FINCH AVE W
DUFFERIN ST&GLENCAIRN AVE
DUNDAS ST E&RIVER ST
DUNDAS ST W&BLOOR ST W
EASTERN AVE&COXWELL AVE
EGLINTON AVE E&DANFORTH RD
EGLINTON AVE W&MARTIN GROVE RD
EGLINTON AVE W&SCARLETT RD
EGLINTON AVE W&SPADINA RD
ELLESMERE RD&BELLAMY RD N
ELLESMERE RD&MILITARY TRL
FINCH AVE E&BIRCHMOUNT RD
FINCH AVE E&BRIMLEY RD
FINCH AVE E&GORDON BAKER RD
FINCH AVE E  MIDDLEFIELD RD
FINCH AVE E  WILLOWDALE AVE
ISLINGTON AVE&ALBION RD
ISLINGTON AVE&EVANS AVE
ISLINGTON AVE&THE WESTWAY
JANE ST&BALA AVE
JANE ST&CLAIR RD
JANE ST&FALSTAFF AVE
JANE ST&STONG CRT
JARVIS ST&ISABELLA ST
KEELE ST&LAWRENCE AVE W
KEELE ST&LAWRENCE AVE W
KEELE ST&SHEPPARD AVE W
KEELE ST&WILSON AVE
KEELE ST&WILSON AVE
KENNEDY RD 401 C E&KENNEDY RD RAMP
KENNEDY RD&ELLESMERE RDKENNEDY RD MCNICOLL AVE
KING ST E&JARVIS ST
KING ST E&PARLIAMENT ST
KINGSTON RD&PORT UNION RD
KIPLING AVE&HORNER AVE
LAKE SHORE BLVD E&CARLAW AVE
LAKE SHORE BLVD E&LESLIE ST
LAKE SHORE BLVD W&JAMESON AVE
LAKE SHORE BLVD W&PARK LAWN RD
LAKE SHORE BLVD W&SPADINA AVE
LAKE SHORE BLVD W&STRACHAN AVE
LAKE SHORE BLVD W&THIRTY-SEVENTH ST
LAKE SHORE BLVD W&WINDERMERE AVE
LAKE SHORE BLVD W&YORK ST
LANSDOWNE AVE&DUPONT ST
LAWRENCE AVE E&BELLAMY RD N
LAWRENCE AVE E&DON MILLS RD
LAWRENCE AVE E&GREENCEDAR CRCT
LAWRENCE AVE E&KENNEDY RD
LAWRENCE AVE E&MARKHAM RD
LAWRENCE AVE&W MARLEE AVE
LESLIE ST&FINCH AVE E
LESLIE ST&LAWRENCE AVE E
LESLIE ST&YORK MILLS RD
LOWER JARVIS ST&THE ESPLANADE
MARKHAM RD&ELLESMERE RD
MARKHAM RD&PROGRESS AVE
MARKHAM RD&SHEPPARD AVE E
MCCOWAN RD&MCNICOLL AVE
MIDLAND AVE&MCNICOLL AVE
MIDLAND AVE&PROGRESS AVE
MORNINGSIDE&AVE LAWRENCE AVE E
MORNINGSIDE&AVE MILNER AVE
NEILSON RD MCLEVIN AVE
NEILSON RD&SHEPPARD AVE E
O CONNOR DR&BERMONDSEY RD
OVERLEA BLVD&THORNCLIFFE PARK DR
PHARMACY AVE&MCNICOLL AVE
QUEEN ST E&WOODBINE AVE
QUEEN ST W&LANSDOWNE AVE
REXDALE BLVD&KIPLING AVE
REXDALE BLVD&MARTIN GROVE RD
RICHMOND ST E&PARLIAMENT ST
ROGERS RD&KEELE ST
SHEPPARD AVE E&BAYVIEW AVE
SHEPPARD AVE E&MALVERN ST
SHEPPARD AVE E&MALVERN ST
SHEPPARD AVE E&MCCOWAN RD
SHEPPARD AVE E&MORNINGSIDE AVE
SHEPPARD AVE E&WARDEN AVE
SHEPPARD AVE W&WILSON HEIGHTS BLVD
SIMCOE ST&WELLINGTON ST W
SPADINA AVE&ADELAIDE ST W
SPADINA AVE&BREMNER BLVD
SPADINA AVE&KING ST W
ST CLAIR AVE E&BRIMLEY RD
ST CLAIR AVE W&GUNNS RD
ST CLAIR AVE W&RUNNYMEDE RD
ST CLAIR AVE W&SPADINA RD
STEELES AVE E&BIRCHMOUNT RD
STEELES AVE E&BRIMLEY RD
STEELES AVE W&CARPENTER RD
STEELES AVE W&DUFFERIN ST
STEELES AVE W&HILDA AVE
STEELES AVE W&ISLINGTON AVE
STEELES AVE W&KEELE ST
